FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
2275,2309,Northern Avenue,45263901,5,5,0,2017,SLM,89.0210229867532
2276,2310,Meridian Street,4411300,3,2,0,2013,BLSL,117.981566062408
2277,2311,Meridian Street,4404100,3,2,0,2013,BLSL,69.3279825912517
2278,2312,Marginal Street,5645000,0,2,0,2015,SRd,125.92047065828
2279,2313,Marginal Street,4435500,0,5,0,2015,NW,233.850625544629
2280,2314,Bennington Street,6267500,5,2,1,2008,SLM,361.581108561764
2281,2315,Veterans Of Foreign Wars Parkway,6212200,2,3,1,2013,BL,471.035565457574
2282,2316,Market Street,5313600,5,2,1,2013,BL,52.2642744125169
2283,2317,Baker Street,5437400,6,2,0,2014,BL,88.6970388172608
2284,2318,Veterans Of Foreign Wars Parkway,6223500,2,3,1,2013,BL,275.29410884322
2285,2319,Veterans Of Foreign Wars Parkway,6213400,2,3,1,2013,BL,467.772616739676
2286,2320,Baker Street,5129000,6,2,0,2014,SLM,72.6282160386093
2287,2321,Veterans Of Foreign Wars Parkway,5855200,2,3,1,2013,BL,329.846648675711
2288,2322,Baker Street,5687900,6,2,0,2014,BL,179.461980420568
